patent_id,title,year,inventor_name,company_name
10000000,Coherent LADAR using intra-pixel quadrature detection,2018,Joseph Marron,Raytheon Company
10000001,Injection molding machine and mold thickness control method,2018,Hyeon Jae YU,LS MTRON LTD.
10000001,Injection molding machine and mold thickness control method,2018,Sun-Woo Lee,LS MTRON LTD.
10000002,Method for manufacturing polymer film and co-extruded film,2018,Dong-Hyeon Choi,"KOLON INDUSTRIES, INC."
10000002,Method for manufacturing polymer film and co-extruded film,2018,Dong Jin Kim,"KOLON INDUSTRIES, INC."
10000002,Method for manufacturing polymer film and co-extruded film,2018,Si Min Kim,"KOLON INDUSTRIES, INC."
10000002,Method for manufacturing polymer film and co-extruded film,2018,Yun-Jo Kim,"KOLON INDUSTRIES, INC."
10000003,Method for producing a container from a thermoplastic,2018,Carsten Elsasser,Kautex Textron GmbH & Co. KG
10000003,Method for producing a container from a thermoplastic,2018,Cristoph Mehren,Kautex Textron GmbH & Co. KG
10000003,Method for producing a container from a thermoplastic,2018,Guido Bergmann,Kautex Textron GmbH & Co. KG
10000004,"Process of obtaining a double-oriented film, co-extruded, and of low thickness made by a three bubble process that at the time of being thermoformed provides a uniform thickness in the produced tray",2018,Jose Juan Valadez Lopez,ZUBEX INDUSTRIAL SA DE CV
10000004,"Process of obtaining a double-oriented film, co-extruded, and of low thickness made by a three bubble process that at the time of being thermoformed provides a uniform thickness in the produced tray",2018,Miguel Jorge ZUBIRIA ELIZONDO,ZUBEX INDUSTRIAL SA DE CV
10000005,Article vacuum formation method and vacuum forming apparatus,2018,Katsunori Oda,TOYOTA SHATAI KABUSHIKI KAISHA
10000005,Article vacuum formation method and vacuum forming apparatus,2018,Kenji Katou,TOYOTA SHATAI KABUSHIKI KAISHA
10000006,Thermoforming mold device and a process for its manufacture and use,2018,Marc Saelen,REYDEL AUTOMOTIVE B.V.
10000007,PEX expanding tool,2018,Alex Huber,Milwaukee Electric Tool Corporation
10000007,PEX expanding tool,2018,Corey Dickert,Milwaukee Electric Tool Corporation
10000007,PEX expanding tool,2018,Ian Zimmermann,Milwaukee Electric Tool Corporation
10000007,PEX expanding tool,2018,Jarrod Kotes,Milwaukee Electric Tool Corporation
10000007,PEX expanding tool,2018,Will Didier,Milwaukee Electric Tool Corporation
10000008,Bracelet mold and method of use,2018,Liah Caspi,"Alex Toys, LLC"
10000009,Sterile environment for additive manufacturing,2018,Nathan Christopher Maier,
10000010,3-D electrostatic printer using rack and pinion registration system,2018,Brian A. Hanna,Xerox Corporation
10000010,3-D electrostatic printer using rack and pinion registration system,2018,Carlos M. Terrero,Xerox Corporation
10000010,3-D electrostatic printer using rack and pinion registration system,2018,Donald R. Fess,Xerox Corporation
10000010,3-D electrostatic printer using rack and pinion registration system,2018,Lynn Saxton,Xerox Corporation
10000010,3-D electrostatic printer using rack and pinion registration system,2018,Roberto A. Irizarry,Xerox Corporation
10000011,Supports for sintering additively manufactured parts,2018,Gregory Thomas Mark,"MARKFORGED, INC."
10000014,Method for producing thermoplastic foam panels by means of at least two heating elements offset in parallel with each other,2018,Carsten SANDNER,BASF SE
10000014,Method for producing thermoplastic foam panels by means of at least two heating elements offset in parallel with each other,2018,Dietrich Scherzer,BASF SE
10000014,Method for producing thermoplastic foam panels by means of at least two heating elements offset in parallel with each other,2018,Franz-Josef Dietzen,BASF SE
10000014,Method for producing thermoplastic foam panels by means of at least two heating elements offset in parallel with each other,2018,Herbert Schall,BASF SE
10000014,Method for producing thermoplastic foam panels by means of at least two heating elements offset in parallel with each other,2018,Tim DIEHLMANN,BASF SE
10000015,"Methods for making optical components, optical components, and products including same",2018,Robert J. Nick,"SAMSUNG ELECTRONICS CO., LTD."
10000016,Film edge sealing device,2018,Raymond Uttaro,"EXTREME PACKAGING MACHINERY, INC."
10000017,Method for mounting a vortex generator and mounting apparatus for carrying out the method,2018,Ralph Windbichler,Senvion GmbH
10000018,Pull tab design for stretch release adhesive,2018,Liane Fang,Apple Inc.
10000018,Pull tab design for stretch release adhesive,2018,Matthew D. Hill,Apple Inc.
10000018,Pull tab design for stretch release adhesive,2018,Scott A. Myers,Apple Inc.
10000018,Pull tab design for stretch release adhesive,2018,Stefan C. Mag,Apple Inc.
10000018,Pull tab design for stretch release adhesive,2018,Tyler B. Cater,Apple Inc.
10000019,Installation assembly and associated method for forming a bonded joint,2018,James D. Chanes,THE BOEING COMPANY
10000019,Installation assembly and associated method for forming a bonded joint,2018,Joseph L. Hafenrichter,THE BOEING COMPANY
10000019,Installation assembly and associated method for forming a bonded joint,2018,John F. Spalding,THE BOEING COMPANY
10000019,Installation assembly and associated method for forming a bonded joint,2018,Kathy L. Ferguson,THE BOEING COMPANY
10000019,Installation assembly and associated method for forming a bonded joint,2018,Mary H. Vargas,THE BOEING COMPANY
10000019,Installation assembly and associated method for forming a bonded joint,2018,Megan N. Watson,THE BOEING COMPANY
10000019,Installation assembly and associated method for forming a bonded joint,2018,Michael W. Evens,THE BOEING COMPANY
10000019,Installation assembly and associated method for forming a bonded joint,2018,Nicholas H. Room,THE BOEING COMPANY
10000019,Installation assembly and associated method for forming a bonded joint,2018,Russell L. Keller,THE BOEING COMPANY
