company_id,name,patent_count
55541eef-98de-4c63-aad3-5f8b3e502d0f,International Business Machines Corporation,161822
b4062af8-b41f-4fa2-bfa7-5982709cea1f,"SAMSUNG ELECTRONICS CO., LTD.",160256
50581de5-4c41-40a2-92dd-6b0fdc9766d2,Canon Kabushiki Kaisha,88222
9f570156-e301-487d-8359-d3b69e0641bb,Sony Group Corporation,61131
f4ed069a-7602-45be-b2e5-2c518aa05481,FUJITSU LIMITED,55547
bc6f8825-e6fa-4151-b3c4-68677f23805e,KABUSHIKI KAISHA TOSHIBA,52921
6e6c14b1-e4c3-46ee-89e2-90a6a971b547,General Electric Company,51289
e942f2ed-93e6-4bcc-8975-2558556d9f6c,Intel Corporation,51042
32cd0a9e-dcbe-482f-9bd5-be35d118f9b2,LG ELECTRONICS INC.,47325
5e70fd1f-052c-442e-b0a1-68cc51d538ea,"HITACHI, LTD.",44875
